음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
갈릭쉬림프포케샐러드,156.0,,4.6,7.28,,18.16,7.92,,,,,,196.0,,,,,,,,,26.4,1.96,0.08,,3.0,,,2.0,1471000.0,1
갈릭스파게티샐러드,273.0,,4.9,21.4,,15.2,4.6,,,,,,446.0,,,,,,,,,15.5,4.1,0.18,,3.0,,,2.0,1471000.0,1
갈릭씨푸드볶음밥,81.0,,2.92,1.49,,14.02,0.87,,,,,,216.0,,,,,,,,,13.5,0.14,0.0,,3.0,,,2.0,1471000.0,1
갈릭아라비아따파스타,121.0,,3.97,0.89,,24.17,5.3,,,,,,328.0,,,,,,,,,0.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
갈릭연어스테이크,200.0,,10.59,13.53,,7.65,4.12,,,,,,765.0,,,,,,,,,20.59,2.06,0.12,,3.0,,,2.0,1471000.0,1
갈릭오일찜샐러드,90.0,,2.03,4.41,,12.2,2.71,3.7,,,,,54.0,,,,,,,,,0.0,0.71,0.0,,3.0,,,2.0,1471000.0,1
갈릭올리브유볶음밥과,179.0,,8.18,5.0,,24.55,4.55,,,,,,202.0,,,,,,,,,8.18,0.18,0.0,,3.0,,,2.0,1471000.0,1
갈릭치킨누들샐러드,87.0,,5.42,4.38,,6.4,3.45,,,,,,103.0,,,,,,,,,14.78,1.28,0.0,,3.0,,,2.0,1471000.0,1
갈릭치킨포케샐러드,132.0,,2.66,5.22,,18.48,4.48,,,,,,230.0,,,,,,,,,2.81,0.86,0.0,,3.0,,,2.0,1471000.0,1
갈릭콘치즈샌드위치,342.0,,9.38,16.88,,38.13,16.25,,,,,,563.0,,,,,,,,,25.63,6.88,0.19,,3.0,,,2.0,1471000.0,1
갈릭크림치즈한돈버거,240.0,,8.75,17.5,,11.88,3.75,,,,,,713.0,,,,,,,,,28.13,6.88,0.13,,3.0,,,2.0,1471000.0,2
갈릭크림파스타,153.0,,5.16,5.48,,20.97,2.58,,,,,,335.0,,,,,,,,,30.65,3.23,0.1,,3.0,,,2.0,1471000.0,1
갈릭통살치킨버거,236.0,,8.28,8.92,,29.94,5.1,,,,,,483.0,,,,,,,,,9.55,1.85,0.0,,3.0,,,2.0,1471000.0,2
갈릭통어묵김밥,172.0,,3.92,7.31,,22.74,1.76,,,,,,577.0,,,,,,,,,23.53,1.35,0.05,,3.0,,,2.0,1471000.0,2
갈릭페뇨파스타,162.0,,3.45,7.24,,20.69,3.79,,,,,,583.0,,,,,,,,,0.0,0.97,0.0,,3.0,,,2.0,1471000.0,1
갈릭포테이토스프,78.0,,1.74,5.22,,6.09,1.3,,,,,,139.0,,,,,,,,,10.87,0.87,0.0,,3.0,,,2.0,1471000.0,1
갈릭함박스테이크,156.0,,7.2,5.2,,20.0,2.4,,,,,,264.0,,,,,,,,,36.0,1.4,0.0,,3.0,,,2.0,1471000.0,1
갈릭햄치즈샌드위치,291.0,,10.67,15.33,,28.0,5.33,,,,,,517.0,,,,,,,,,111.33,6.0,0.0,,3.0,,,2.0,1471000.0,1
갈매기부산어묵,201.5,,9.5,3.25,,33.599999999999994,2.75,,,,,,651.0,,,,,,,,,5.95,0.5,0.0,,3.0,,,2.0,1471000.0,2
갈비곰탕,75.0,,2.95,6.85,,0.38,0.37,,,,,,241.0,,,,,,,,,7.6,1.66,0.21,,3.0,,,2.0,1471000.0,1
